panel	pathway	overlap	set_size	p	q	genes
SIS	hsa04120_Ubiquitin_mediated_proteolysis	2	39	0.0002478682836114775	0.0002478682836114775	CDC20,UBE2C
RSF	hsa04914_Progesterone-mediated_oocyte_maturation	2	33	0.0004889861505770559	0.0023298099447445542	ANAPC1,IGF1
RSF	hsa04114_Oocyte_meiosis	2	36	0.0005824524861861386	0.0023298099447445542	ANAPC1,IGF1
RSF	hsa04150_mTOR_signaling_pathway	2	64	0.0018343418351716057	0.004504162064303332	IGF1,WNT5A
RSF	hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells	2	71	0.002252081032151666	0.004504162064303332	IGF1,WNT5A
RSF	hsa04310_Wnt_signaling_pathway	2	85	0.003209682812404193	0.005135492499846709	DKK2,WNT5A
RSF	hsa05205_Proteoglycans_in_cancer	2	100	0.004412541126756147	0.005883388169008196	IGF1,WNT5A
RSF	hsa05022_Pathways_of_neurodegeneration	2	154	0.010183934617145689	0.011638782419595073	DKK2,WNT5A
RSF	hsa05200_Pathways_in_cancer	2	254	0.02624018107738894	0.02624018107738894	IGF1,WNT5A
XGBoost	hsa04974_Protein_digestion_and_absorption	2	66	0.0009117676577203327	0.0009117676577203327	COL14A1,COL7A1
Consensus-Vote2	hsa05022_Pathways_of_neurodegeneration	2	154	0.008684949580557523	0.008684949580557523	CAPN2,DKK2
Consensus-TopK	hsa05022_Pathways_of_neurodegeneration	2	154	0.008684949580557523	0.008684949580557523	CAPN2,DKK2
