	0
EXPR:PRG4	0.735
EXPR:KRT14	0.665
EXPR:SYT4	0.6
ALT:TRPC1	0.59
SV:total	0.565
ALT:TRIP12	0.53
EXPR:HAPLN1	0.485
ALT:TERF1	0.45
ALT:TMEM51	0.43
ALT:TP53	0.415
ALT:TRPM5	0.355
EXPR:PGP	0.34
EXPR:C4BPA	0.335
ALT:TRIM16	0.325
ALT:THBS2	0.3
EXPR:PCDHGC5	0.3
EXPR:RBM12	0.295
EXPR:DERPC	0.29
ALT:TET2	0.255
ALT:TNR	0.245
EXPR:ZBTB22	0.245
EXPR:SPRR2F	0.235
EXPR:HSD3B1	0.22
ALT:TPTE2	0.215
EXPR:SFTPA1	0.205
EXPR:ITLN1	0.205
EXPR:KRT17	0.2
EXPR:SLC5A3	0.175
ALT:TMPRSS7	0.16
ALT:TPK1	0.15
EXPR:NME3	0.15
ALT:TRIM33	0.14
EXPR:SFTPB	0.115
EXPR:CPB1	0.11
ALT:TRHDE	0.105
ALT:TRAK1	0.09
EXPR:REG1A	0.09
EXPR:SFTPC	0.06
EXPR:HP	0.025
EXPR:SFTPA2	0.0
