	0
SV:total	0.0
EXPR:ITLN1	0.0
EXPR:RBM12	0.0
EXPR:C4BPA	0.0
EXPR:SFTPA1	0.0
EXPR:PGP	0.0
EXPR:SFTPC	0.0
EXPR:SFTPA2	0.0
EXPR:SFTPB	0.0
EXPR:HSD3B1	0.0
EXPR:ZBTB22	0.0
EXPR:CPB1	0.0
EXPR:DERPC	0.0
EXPR:KRT14	0.0
EXPR:PCDHGC5	0.0
EXPR:PRG4	0.0
EXPR:HAPLN1	0.0
EXPR:KRT17	0.0
EXPR:SPRR2F	0.0
EXPR:REG1A	0.0
EXPR:HP	0.0
EXPR:SLC5A3	0.0
EXPR:NME3	0.0
EXPR:SYT4	0.0
ALT:TPTE2	0.0
ALT:TRAK1	0.0
ALT:TRHDE	0.0
ALT:TRIM16	0.0
ALT:TRIM33	0.0
ALT:TRIP12	0.0
ALT:TRPC1	0.0
ALT:TRPM5	0.0
ALT:TERF1	0.0
ALT:TET2	0.0
ALT:THBS2	0.0
ALT:TMEM51	0.0
ALT:TMPRSS7	0.0
ALT:TNR	0.0
ALT:TP53	0.0
ALT:TPK1	0.0
ALT:SUGCT	0.0
ALT:SUPT3H	0.0
ALT:SYNE1	0.0
ALT:SYT14	0.0
ALT:TECTA	0.0
ALT:TENM2	0.0
ALT:TENM3	0.0
ALT:TENM4	0.0
ALT:SPRR2B	0.0
ALT:SPRR2E	0.0
ALT:ST6GALNAC3	0.0
ALT:ST7	0.0
ALT:STAB1	0.0
ALT:STK31	0.0
ALT:STPG2	0.0
ALT:STXBP5L	0.0
EXPR:FABP4	0.0
EXPR:CGN	0.0
EXPR:PDIA2	0.0
EXPR:PCDHGB4	0.0
EXPR:ESRP1	0.0
EXPR:LHX9	0.0
EXPR:TYMP	0.0
EXPR:CKMT1A	0.0
EXPR:CCL21	0.0
EXPR:ITGB6	0.0
EXPR:DSG3	0.0
EXPR:ISM2	0.0
EXPR:OGN	0.0
EXPR:LINC02617	0.0
EXPR:NPFFR2	0.0
EXPR:SERTM1	0.0
EXPR:TENM2	0.0
EXPR:TRIM56	0.0
EXPR:COMP	0.0
EXPR:AL662884.1	0.0
EXPR:BCHE	0.0
EXPR:SERPINB5	0.0
EXPR:SILC1	0.0
EXPR:MS4A1	0.0
EXPR:SULT1E1	0.0
EXPR:HPR	0.0
EXPR:SFTPD	0.0
EXPR:SAA2	0.0
EXPR:HHIP	0.0
EXPR:ZNF805	0.0
EXPR:FDCSP	0.0
EXPR:PET117	0.0
EXPR:TIGD1	0.0
EXPR:TNNC1	0.0
EXPR:AGR2	0.0
EXPR:CCL19	0.0
EXPR:NNAT	0.0
EXPR:KLK5	0.0
EXPR:EPCAM	0.0
EXPR:KLK10	0.0
EXPR:SLC22A31	0.0
EXPR:SFRP5	0.0
EXPR:DSCAML1	0.0
EXPR:CHIT1	0.0
EXPR:AKR1B10	0.0
EXPR:VIPR2	0.0
EXPR:CR2	0.0
EXPR:ADH1C	0.0
EXPR:BARX2	0.0
EXPR:PICSAR	0.0
EXPR:LRRN4	0.0
EXPR:KIF1A	0.0
EXPR:FOSB	0.0
EXPR:CKMT1B	0.0
EXPR:ADCYAP1	0.0
EXPR:KRT7-AS	0.0
EXPR:KLK7	0.0
EXPR:LCN2	0.0
EXPR:PAEP	0.0
EXPR:OGDHL	0.0
EXPR:CYP24A1	0.0
EXPR:AC107398.3	0.0
EXPR:NMU	0.0
EXPR:PLA2G2A	0.0
EXPR:PDZD3	0.0
EXPR:TMEM151A	0.0
EXPR:CA9	0.0
EXPR:HBA2	0.0
EXPR:CRB2	0.0
EXPR:CYP4F29P	0.0
EXPR:BRINP3	0.0
EXPR:LINC01436	0.0
EXPR:ROS1	0.0
EXPR:TRARG1	0.0
EXPR:VTN	0.0
