panel	size	n_genes	C_internal_cv	C_internal_cv_lo	C_internal_cv_hi	Cexpr_mean	C_native_mean	C_TCGA	C_BUENO	C_NCI	C_BLUM	Cexpr_TCGA	Cexpr_BUENO	Cexpr_NCI	Cexpr_BLUM	cov_TCGA	cov_BUENO	cov_NCI	cov_BLUM	layers
Inhouse-Union	13	4	0.767876962105597	0.7119609696762517	0.8196061544512446	0.671970904827828	0.6807977567716039	0.7172977624784854	0.6386041009463722	0.6915297092288243	0.675759454432734	0.7033666969972703	0.6336600202771207	0.6496789727126806	0.7011779293242405	10/13	4/13	4/13	4/13	EXPR:4,METenh:4,METpro:3,METbod:2
Inhouse-Univariate	6	3	0.7387030283811638	0.6761145071799319	0.7972269874273862	0.6606018033773625	0.6837159938184624	0.7375215146299484	0.6292389589905363	0.7016434892541087	0.666460012399256	0.6982104943888383	0.6118959107806692	0.6689406099518459	0.6633601983880967	5/6	3/6	3/6	3/6	EXPR:3,METenh:2,METpro:1
Consensus-TopK	20	7	0.7827810369430791	0.7363135301792222	0.8283885941160064	0.6584183591955975	0.6545183743715061	0.673407917383821	0.6100157728706624	0.7029077117572693	0.6317420954742715	0.6836518046709129	0.6308888137884421	0.6601123595505618	0.6590204587724736	12/20	5/20	5/20	5/20	METbod:9,EXPR:5,METenh:4,METpro:2
Consensus-Vote2	20	7	0.7827810369430791	0.7363135301792222	0.8283885941160064	0.6584183591955975	0.6545183743715061	0.673407917383821	0.6100157728706624	0.7029077117572693	0.6317420954742715	0.6836518046709129	0.6308888137884421	0.6601123595505618	0.6590204587724736	12/20	5/20	5/20	5/20	METbod:9,EXPR:5,METenh:4,METpro:2
SIS	20	6	0.7412398921832885	0.6822582434732843	0.7995918232012241	0.6424097084860944	0.6757741356674891	0.7172977624784854	0.620563880126183	0.6814159292035398	0.6838189708617483	0.694570821959357	0.5893883068604259	0.6247993579454254	0.6608803471791692	8/20	3/20	3/20	3/20	METenh:11,METbod:6,EXPR:3
DeepSurv	20	4	0.7575709529094656	0.7125866777583244	0.8046886861479114	0.6412768040089456	0.6562542617858262	0.6914802065404475	0.638308359621451	0.6194690265486725	0.675759454432734	0.6499848346982104	0.6254815816154106	0.5822632423756019	0.7073775573465592	10/20	4/20	4/20	4/20	METenh:6,METbod:5,EXPR:4,METpro:3,LOH:2
LASSO-Cox	20	9	0.7946725860155383	0.7491934155104552	0.8382626717285382	0.6382728660660876	0.6351494387408253	0.6536144578313253	0.5378548895899053	0.649810366624526	0.6993180409175449	0.6463451622687292	0.5868198715782359	0.6336276083467095	0.6862988220706757	14/20	6/20	6/20	6/20	METbod:7,EXPR:6,METenh:5,METpro:2
XGBoost	20	5	0.7637545584271445	0.7170042049453023	0.8086978348836057	0.6125331960829591	0.569364048643643	0.6028399311531841	0.5278982649842271	0.5372945638432364	0.6094234345939243	0.6445253260539885	0.5858060155457925	0.5750401284109149	0.6447613143211407	8/20	3/20	2/20	2/20	METbod:9,METenh:6,EXPR:3,METpro:1,LOH:1
RSF	20	8	0.7426668780719835	0.6916464682785721	0.792682472970076	0.5602381582952501	0.5519038698206131	0.5972461273666093	0.5259266561514195	0.49051833122629585	0.5939243645381277	0.575674855929633	0.5523487664751605	0.5140449438202247	0.5988840669559826	12/20	5/20	4/20	5/20	METenh:9,EXPR:6,METbod:3,METpro:1,LOH:1
Inhouse-Bivariate	9	1	0.7553511970826067	0.7014264734300869	0.8056791365404293		0.5963765006519935	0.6523235800344234	0.5754140378548895	0.4993678887484197	0.6584004959702418					6/9	1/9	1/9	1/9	METpro:3,METenh:3,METbod:2,EXPR:1
