	0
EXPR:UBE2C	0.86
METpro:cg19598416	0.715
EXPR:COL7A1	0.705
EXPR:CPXM2	0.61
METenh:cg02062632	0.55
METenh:cg17476701	0.535
EXPR:IGF1	0.495
METpro:cg24685006	0.455
METenh:cg25124440	0.455
METbod:cg23475112	0.41
METenh:cg01728258	0.41
METenh:cg02849956	0.365
METenh:cg12126732	0.355
METbod:cg00249511	0.355
EXPR:CHL1	0.34
METenh:cg19380996	0.33
METbod:cg06637517	0.305
METbod:cg11413039	0.3
METenh:cg01009920	0.29
METbod:cg02320862	0.285
METpro:cg21144922	0.285
METpro:cg19318393	0.26
METenh:cg19284571	0.26
METenh:cg13262048	0.255
METpro:cg26156626	0.205
METpro:cg12985929	0.185
METpro:cg06523901	0.17
METenh:cg15809077	0.15
METenh:cg05859465	0.145
METenh:cg06494284	0.145
METbod:cg10836101	0.12
METenh:cg24561412	0.115
METpro:cg14901243	0.1
METenh:cg17555274	0.085
METenh:cg10599258	0.06
METbod:cg18932798	0.06
METenh:cg07068089	0.045
METenh:cg23167627	0.04
METenh:cg04348677	0.035
METenh:cg20368182	0.03
