	0
METpro:cg14901243	0.24
METpro:cg12985929	0.18
METbod:cg10836101	0.18
METenh:cg04348677	0.18
METbod:cg18932798	0.16
METenh:cg19380996	0.16
METenh:cg06494284	0.14
METbod:cg07470512	0.12
METbod:cg02320862	0.12
METenh:cg26114999	0.1
METpro:cg26156626	0.1
METenh:cg11448247	0.1
METenh:cg02849956	0.1
METenh:cg05859465	0.1
METbod:cg11413039	0.1
METpro:cg19598416	0.08
METenh:cg23167627	0.08
METbod:cg13678973	0.08
METpro:cg21144922	0.08
METenh:cg24568517	0.08
METpro:cg19318393	0.08
METenh:cg17555274	0.06
METenh:cg25124440	0.06
METenh:cg20155875	0.06
EXPR:CHL1	0.06
METpro:cg19241689	0.06
METenh:cg02062632	0.06
METenh:cg12126732	0.06
METbod:cg24967096	0.06
METbod:cg25447214	0.04
METbod:cg16094145	0.04
METbod:cg11891395	0.04
METenh:cg15809077	0.04
METbod:cg15974634	0.04
METbod:cg06436185	0.04
METbod:cg12028548	0.04
METenh:cg11060604	0.04
METenh:cg07375082	0.04
METpro:cg18418369	0.04
METenh:cg01724135	0.04
METbod:cg10012059	0.04
METpro:cg10633838	0.04
METpro:cg20300514	0.04
METbod:cg07517893	0.04
METenh:cg23184653	0.04
METbod:cg06637517	0.04
METenh:cg16072009	0.04
METenh:cg00553187	0.04
METbod:cg16818251	0.04
METenh:cg20889490	0.04
EXPR:IGF1	0.04
METenh:cg18150909	0.04
METbod:cg27431500	0.04
METenh:cg01009920	0.04
METenh:cg19284571	0.04
METpro:cg24039697	0.04
METbod:cg18449189	0.02
METpro:cg01120308	0.02
METenh:cg10158330	0.02
METbod:cg09226904	0.02
METbod:cg01199327	0.02
METbod:cg25315312	0.02
METenh:cg26760304	0.02
METenh:cg02804067	0.02
METenh:cg25799109	0.02
METenh:cg16063553	0.02
METbod:cg13325231	0.02
EXPR:CACNA1G	0.02
METenh:cg25845137	0.02
METenh:cg02451548	0.02
METbod:cg11299543	0.02
METenh:cg25503410	0.02
METenh:cg09780975	0.02
METpro:cg08440934	0.02
METbod:cg15985184	0.02
METpro:cg14501061	0.02
METenh:cg21948967	0.02
METenh:cg09501509	0.02
METenh:cg24164865	0.02
METbod:cg23475112	0.02
METenh:cg09154264	0.02
METenh:cg17631535	0.02
METenh:cg01680062	0.02
METpro:cg06574716	0.02
METenh:cg07697733	0.02
METenh:cg15896468	0.02
METenh:cg17360377	0.02
METbod:cg21473142	0.02
METbod:cg12298268	0.02
METpro:cg08988821	0.02
METenh:cg16655445	0.02
METbod:cg21849932	0.02
METenh:cg19920602	0.02
METenh:cg10784519	0.02
METbod:cg22350898	0.02
METpro:cg26268276	0.02
METenh:cg01631946	0.02
METpro:cg10441424	0.02
METbod:cg09062550	0.02
EXPR:BHLHE22	0.02
METenh:cg21735068	0.02
METenh:cg08451988	0.02
METenh:cg07068089	0.02
METenh:cg09994323	0.02
EXPR:COL7A1	0.02
METenh:cg17884382	0.02
METenh:cg07476328	0.02
EXPR:CEP55	0.02
METenh:cg04640637	0.02
METpro:cg06523901	0.02
METbod:cg14878988	0.02
METbod:cg14913284	0.02
METbod:cg06782035	0.02
METbod:cg00263677	0.02
METpro:cg24900663	0.02
METenh:cg17462560	0.02
METenh:cg06540091	0.02
METpro:cg01313313	0.02
METpro:cg24685006	0.02
METenh:cg26533221	0.02
METenh:cg26639865	0.02
METpro:cg03637691	0.02
METenh:cg08454936	0.02
METpro:cg07181406	0.02
METenh:cg11035003	0.02
METenh:cg01728258	0.02
METenh:cg10174546	0.02
METenh:cg13503677	0.02
METenh:cg25300481	0.02
EXPR:CPXM2	0.02
METpro:cg21511203	0.02
METenh:cg24561412	0.02
EXPR:CLEC17A	0.02
EXPR:RSPO3	0.02
METbod:cg11891579	0.02
METenh:cg16256383	0.02
METpro:cg11590420	0.02
METpro:cg12280317	0.02
METenh:cg09265623	0.02
METpro:cg18131141	0.02
METenh:cg09634659	0.02
EXPR:PITX1	0.02
EXPR:CEMIP	0.02
EXPR:GDAP1L1	0.02
EXPR:AL133467.1	0.02
METenh:cg02770628	0.02
METbod:cg17916490	0.02
METenh:cg11131246	0.02
METenh:cg20281905	0.02
METenh:cg06583209	0.02
METbod:cg27622586	0.02
METenh:cg18986745	0.02
METenh:cg19256314	0.02
METenh:cg26557696	0.02
METpro:cg01150497	0.02
METenh:cg07215487	0.02
METenh:cg11281576	0.02
METpro:cg09612413	0.02
METenh:cg01912915	0.02
METenh:cg02804274	0.02
METenh:cg04730961	0.02
METbod:cg23978242	0.02
METenh:cg06991163	0.02
METbod:cg02081006	0.02
