	0
METbod:cg07470512	0.865
METenh:cg12126732	0.855
METpro:cg19598416	0.76
METbod:cg24967096	0.725
EXPR:CHL1	0.69
METenh:cg25124440	0.665
METpro:cg19241689	0.635
METenh:cg02062632	0.635
METpro:cg21144922	0.53
METenh:cg02849956	0.465
METpro:cg26156626	0.46
METbod:cg10836101	0.44
METenh:cg26114999	0.41
METbod:cg25447214	0.395
METenh:cg11448247	0.39
METenh:cg05859465	0.35
METenh:cg06494284	0.345
METbod:cg11413039	0.315
METbod:cg02320862	0.295
METbod:cg13678973	0.275
METenh:cg19380996	0.27
METenh:cg24568517	0.235
METpro:cg19318393	0.19
METbod:cg18932798	0.18
METenh:cg17555274	0.14
METpro:cg12985929	0.1
METenh:cg23167627	0.095
METenh:cg04348677	0.085
METpro:cg14901243	0.08
METenh:cg20155875	0.075
