	0
METenh:cg20155875|METbod:cg24967096	0.04
METpro:cg14901243|METbod:cg18932798	0.04
METenh:cg06494284|METbod:cg09226904	0.02
METpro:cg03637691|METbod:cg24967096	0.02
METenh:cg00553187|METenh:cg23167627	0.02
METenh:cg05859465|EXPR:AC093726.1	0.02
METenh:cg04348677|METenh:cg00553187	0.02
METpro:cg12985929|METbod:cg05921676	0.02
METpro:cg26156626|METbod:cg18932798	0.02
EXPR:RIPOR2|EXPR:MARCHF4	0.02
METpro:cg24039697|METbod:cg06966242	0.02
METenh:cg19380996|METbod:cg24967096	0.02
METenh:cg05859465|METenh:cg24164865	0.02
METbod:cg13678973|METenh:cg24568517	0.02
METpro:cg21144922|METenh:cg06494284	0.02
METpro:cg26156626|METpro:cg10633838	0.02
METpro:cg14901243|METbod:cg11413039	0.02
METbod:cg10836101|METpro:cg21144922	0.02
METpro:cg24685006|METbod:cg10836101	0.02
METenh:cg20155875|METenh:cg17476701	0.02
METbod:cg17386213|METenh:cg04308657	0.02
METpro:cg14901243|METpro:cg24900663	0.02
METenh:cg25124440|METbod:cg07517893	0.02
EXPR:CPXM2|METbod:cg00249511	0.02
METpro:cg14901243|METbod:ch.5.673290R	0.02
METbod:cg18932798|METenh:cg16130810	0.02
METenh:cg16655445|METbod:cg24967096	0.02
METenh:cg05859465|METenh:cg00553187	0.02
METbod:cg18932798|METenh:cg04563337	0.02
METbod:cg18932798|METenh:cg12126732	0.02
METbod:cg18932798|METenh:cg13657972	0.02
METenh:cg06494284|METenh:cg07476328	0.02
METpro:cg18131141|METpro:cg12280317	0.02
METpro:cg12985929|METenh:cg00553187	0.02
METbod:cg18932798|METbod:cg06436185	0.02
METbod:cg02320862|METenh:cg00553187	0.02
METenh:cg04348677|METpro:cg19598416	0.02
METpro:cg14901243|METenh:cg25124440	0.02
EXPR:PITX1|EXPR:CPXM2	0.02
EXPR:PITX1|METenh:cg17476701	0.02
EXPR:PITX1|METenh:cg09182455	0.02
EXPR:PITX1|METpro:cg12985929	0.02
EXPR:PITX1|METenh:cg10158330	0.02
EXPR:PITX1|METbod:cg24967096	0.02
EXPR:PITX1|METpro:cg14901243	0.02
EXPR:PITX1|METbod:cg00249511	0.02
METenh:cg06865376|EXPR:RSPO3	0.02
METenh:cg06540091|METbod:cg24967096	0.02
METpro:cg14901243|METbod:cg07470512	0.02
METenh:cg19284571|METbod:cg09226904	0.02
METpro:cg20300514|METpro:cg18418369	0.02
METpro:cg14901243|METbod:cg10836101	0.02
METenh:cg23167627|METbod:cg07470512	0.02
METbod:cg13678973|METenh:cg19453003	0.02
METenh:cg04348677|METpro:cg24676817	0.02
METenh:cg13503677|METenh:cg26560110	0.02
METenh:cg26114999|METenh:cg19453003	0.02
METenh:cg05859465|METbod:cg23978242	0.02
METpro:cg14901243|METbod:cg23978242	0.02
